tempo;L(t);W_wait_avg_s;p_util;OperatorsBusyAvg;Arrivals;Blocked;Served;MaxOperatorsBusy;CarriedErlangs
11220;0;0;0.700752;34.3369;26;0;26;41;34.3369
11280;0;0;0.791395;38.7784;23;0;23;43;38.7784
11340;0;0;0.90094;44.1461;27;0;27;49;44.1461
11400;0;0;0.805438;39.4665;24;0;24;44;39.4665
11460;0;0;0.811038;39.7409;33;0;33;44;39.7409
11520;0;0;0.861715;42.224;26;0;26;47;42.224
11580;0;0;0.821428;40.25;25;0;25;47;40.25
11640;0;0;0.654769;32.0837;21;0;21;38;32.0837
11700;0;0;0.865451;42.4071;32;0;32;49;42.4071
11760;0.677477;1.62594;0.964081;47.24;29;4;25;49;47.24
11820;0.257044;0.571209;0.906053;44.3966;27;0;27;49;44.3966
11880;0;0;0.801498;39.2734;20;0;20;46;39.2734
11940;0;0;0.801669;39.2818;25;0;25;47;39.2818
12000;0;0;0.846928;41.4995;24;0;24;46;41.4995
12060;0;0;0.810865;39.7324;18;0;18;42;39.7324
12120;0;0;0.871567;42.7068;23;0;23;46;42.7068
12180;0;0;0.752842;36.8892;22;0;22;42;36.8892
12240;0;0;0.715374;35.0533;16;0;16;41;35.0533
12300;0;0;0.618609;30.3118;27;0;27;35;30.3118
12360;0;0;0.674361;33.0437;20;0;20;37;33.0437
12420;0;0;0.682625;33.4486;27;0;27;38;33.4486
12480;0;0;0.855799;41.9342;32;0;32;46;41.9342
12540;0;0;0.875119;42.8808;21;0;21;48;42.8808
12600;0;0;0.700482;34.3236;15;0;15;37;34.3236
12660;0;0;0.753995;36.9458;17;0;17;42;36.9458
12720;0;0;0.758484;37.1657;24;0;24;41;37.1657
12780;0;0;0.757169;37.1013;19;0;19;42;37.1013
12840;0;0;0.594981;29.1541;20;0;20;33;29.1541
12900;0;0;0.707862;34.6853;24;0;24;40;34.6853
12960;0;0;0.784399;38.4356;26;0;26;43;38.4356
13020;0;0;0.876127;42.9302;33;0;33;47;42.9302
13080;3.76287;7.05538;0.996456;48.8264;32;0;32;49;48.8264
13140;1.40533;3.24308;0.996221;48.8148;26;0;26;49;48.8148
13200;3.8393;11.5179;1;49;20;0;20;49;49
13260;2.95223;8.43495;0.999381;48.9697;21;0;21;49;48.9697
13320;9.46299;20.2778;1;49;36;8;28;49;49
13380;8.0461;21.9439;1;49;28;6;22;49;49
13440;3.52236;10.5671;0.995845;48.7964;20;0;20;49;48.7964
13500;5.43345;8.15018;0.989831;48.5017;40;0;40;49;48.5017
13560;6.97946;16.7507;1;49;39;14;25;49;49
13620;0.652117;2.17372;0.938189;45.9713;18;0;18;49;45.9713
13680;0.26109;0.505336;0.94235;46.1752;31;0;31;49;46.1752
13740;3.51863;6.81026;1;49;31;0;31;49;49
13800;0.410514;1.11958;0.978019;47.9229;22;0;22;49;47.9229
13860;0.0120587;0.0328873;0.96459;47.2649;22;0;22;49;47.2649
13920;1.3086;2.90801;0.973378;47.6955;27;0;27;49;47.6955
13980;0;0;0.864434;42.3573;20;0;20;46;42.3573
14040;0;0;0.776006;38.0243;20;0;20;44;38.0243
14100;0.170261;0.329538;0.935693;45.8489;31;0;31;49;45.8489
14160;1.32048;2.55577;0.991813;48.5988;31;0;31;49;48.5988
14220;6.68756;14.8613;1;49;35;8;27;49;49
14280;7.2164;17.3194;1;49;28;3;25;49;49
14340;18.3045;34.3209;1;49;33;1;32;49;49
14400;10.039;50.1952;1;49;26;14;12;49;49
14460;4.264;19.68;0.999743;48.9874;21;8;13;49;48.9874
14520;0.000215833;0.000616665;0.866871;42.4767;21;0;21;49;42.4767
14580;0;0;0.78745;38.5851;28;0;28;45;38.5851
14640;0;0;0.801053;39.2516;28;0;28;44;39.2516
14700;0;0;0.732841;35.9092;26;0;26;40;35.9092
14760;0;0;0.821418;40.2495;20;0;20;45;40.2495
14820;0.765038;1.39098;0.843305;41.3219;33;0;33;49;41.3219
14880;0.346004;0.943647;0.961914;47.1338;22;0;22;49;47.1338
14940;0;0;0.922239;45.1897;23;0;23;49;45.1897
15000;0;0;0.849326;41.617;29;0;29;48;41.617
15060;0;0;0.822679;40.3113;27;0;27;45;40.3113
15120;0.273047;0.511963;0.862474;42.2612;32;0;32;49;42.2612
15180;0.823358;2.14789;0.983711;48.2018;26;3;23;49;48.2018
15240;0;0;0.886122;43.42;19;0;19;49;43.42
15300;0.303847;0.536201;0.931969;45.6665;34;0;34;49;45.6665
15360;3.48239;9.08448;0.997728;48.8887;23;0;23;49;48.8887
15420;0;0;0.90802;44.493;25;0;25;47;44.493
15480;0;0;0.904345;44.3129;28;0;28;49;44.3129
15540;0.0102008;0.0235403;0.928366;45.49;26;0;26;49;45.49
15600;2.65356;5.49013;0.994127;48.7122;29;0;29;49;48.7122
15660;7.36289;15.7776;0.999797;48.9901;31;3;28;49;48.9901
15720;1.54557;4.41591;0.997335;48.8694;24;3;21;49;48.8694
15780;0.0626123;0.208708;0.927241;45.4348;18;0;18;49;45.4348
15840;0;0;0.826361;40.4917;28;0;28;47;40.4917
15900;0;0;0.797765;39.0905;31;0;31;44;39.0905
15960;0;0;0.685647;33.5967;19;0;19;43;33.5967
16020;0;0;0.665237;32.5966;25;0;25;37;32.5966
16080;0;0;0.741402;36.3287;26;0;26;41;36.3287
16140;0;0;0.849815;41.6409;29;0;29;48;41.6409
16200;0.031119;0.0643841;0.913401;44.7566;29;0;29;49;44.7566
16260;0.0838734;0.167747;0.950367;46.568;30;0;30;49;46.568
16320;0;0;0.800186;39.2091;25;0;25;45;39.2091
16380;0.0676471;0.122995;0.953485;46.7208;33;0;33;49;46.7208
16440;5.05102;11.2245;0.998759;48.9392;34;7;27;49;48.9392
16500;1.01709;2.65327;0.995189;48.7643;23;0;23;49;48.7643
16560;0.0129634;0.0409369;0.932788;45.7066;19;0;19;49;45.7066
16620;0;0;0.753988;36.9454;20;0;20;40;36.9454
16680;0;0;0.856519;41.9694;24;0;24;45;41.9694
16740;0;0;0.858397;42.0614;23;0;23;46;42.0614
16800;0;0;0.770454;37.7522;24;0;24;43;37.7522
16860;1.65563;3.01024;0.957697;46.9272;33;0;33;49;46.9272
16920;3.94693;11.2769;1;49;21;0;21;49;49
16980;0.162661;0.443622;0.899462;44.0736;22;0;22;49;44.0736
17040;0;0;0.789135;38.6676;29;0;29;46;38.6676
17100;1.28333;3.20834;0.939638;46.0423;24;0;24;49;46.0423
17160;1.78123;3.95829;0.996188;48.8132;27;0;27;49;48.8132
17220;1.4365;2.97206;0.995278;48.7686;31;2;29;49;48.7686
17280;1.0527;2.178;0.980298;48.0346;29;0;29;49;48.0346
17340;7.14877;15.3188;1;49;36;8;28;49;49
17400;4.80907;12.0227;1;49;29;5;24;49;49
17460;3.36641;5.31538;0.973442;47.6986;44;6;38;49;47.6986
17520;0.623758;1.0115;0.899043;44.0531;37;0;37;49;44.0531
17580;4.23563;10.5891;0.989687;48.4947;30;6;24;49;48.4947
17640;0.0299151;0.0598302;0.946241;46.3658;30;0;30;49;46.3658
17700;0;0;0.871031;42.6805;25;0;25;47;42.6805
17760;0;0;0.855734;41.9309;23;0;23;45;41.9309
